@relation bookkeeper\Release_5\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
429,506,77,2,3,428,168.66666666666666,429,428,143.0,37,22,No
74,76,2,2,2,74,38.0,74,74,37.0,0,7,No
94,97,3,2,3,93,32.333333333333336,94,93,31.333333333333332,3,8,No
336,414,78,3,6,329,69.0,336,329,56.0,10,16,Yes
154,165,11,2,3,153,55.0,154,153,51.333333333333336,8,9,Yes
234,438,204,3,6,209,73.0,234,209,39.0,19,12,Yes
128,137,9,3,5,127,27.4,128,127,25.6,10,7,No
762,1462,700,3,12,547,121.83333333333333,770,547,64.16666666666667,35,36,Yes
149,152,3,2,3,148,50.666666666666664,149,148,49.666666666666664,2,13,No
31,32,1,2,2,31,16.0,31,31,15.5,0,2,No
94,94,0,1,1,94,94.0,94,94,94.0,4,4,Yes
54,55,1,3,3,45,18.333333333333332,54,45,18.0,2,3,No
63,67,4,2,2,63,33.5,63,63,31.5,0,3,Yes
366,390,24,2,5,365,78.0,366,365,73.2,15,21,Yes
185,207,22,3,5,184,41.4,185,184,37.0,9,6,No
586,645,59,2,4,585,161.25,586,585,146.5,41,27,Yes
105,106,1,1,2,61,53.0,105,61,52.5,2,7,Yes
154,162,8,3,4,75,40.5,154,75,38.5,1,17,No
57,61,4,2,2,57,30.5,57,57,28.5,1,3,No
104,111,7,2,2,104,55.5,104,104,52.0,2,7,No
237,257,20,2,2,237,128.5,237,237,118.5,0,12,Yes
71,78,7,2,4,70,19.5,71,70,17.75,2,5,No
124,127,3,2,2,124,63.5,124,124,62.0,9,9,No
98,98,0,1,1,98,98.0,98,98,98.0,14,2,Yes
183,202,19,2,4,180,50.5,183,180,45.75,13,18,No
49,49,0,1,1,49,49.0,49,49,49.0,3,4,No
148,148,0,1,1,148,148.0,148,148,148.0,6,31,Yes
36,41,5,2,2,36,20.5,36,36,18.0,0,3,No
79,94,15,2,3,78,31.333333333333332,79,78,26.333333333333332,3,5,Yes
133,139,6,2,3,133,46.333333333333336,133,133,44.333333333333336,8,6,Yes
37,37,0,1,1,37,37.0,37,37,37.0,0,4,No
160,167,7,2,4,159,41.75,160,159,40.0,26,8,No
253,255,2,1,2,251,127.5,253,251,126.5,8,8,Yes
27,28,1,2,2,27,14.0,27,27,13.5,0,2,No
92,126,34,3,4,91,31.5,92,91,23.0,8,5,Yes
64,65,1,2,2,64,32.5,64,64,32.0,1,6,Yes
551,621,70,3,7,536,88.71428571428571,557,536,79.57142857142857,27,21,No
196,224,28,3,6,178,37.333333333333336,196,178,32.666666666666664,1,7,Yes
204,204,0,1,1,204,204.0,204,204,204.0,11,14,No
27,27,0,1,1,27,27.0,27,27,27.0,0,4,No
77,79,2,2,2,77,39.5,77,77,38.5,0,8,No
6367,12222,5855,2,2,6127,6111.0,6367,6095,3183.5,488,1053,Yes
704,742,38,2,3,703,247.33333333333334,704,703,234.66666666666666,38,33,Yes
105,155,50,2,3,104,51.666666666666664,105,104,35.0,4,5,Yes
471,633,162,3,9,487,70.33333333333333,551,487,61.22222222222222,42,24,No
216,224,8,2,4,216,56.0,216,216,54.0,1,15,Yes
81,92,11,3,4,80,23.0,81,80,20.25,0,2,No
48,50,2,2,2,48,25.0,48,48,24.0,2,4,No
162,163,1,2,2,162,81.5,162,162,81.0,12,30,Yes
92,121,29,3,3,81,40.333333333333336,92,81,30.666666666666668,3,14,No
47,51,4,2,2,47,25.5,47,47,23.5,0,3,No
144,144,0,1,1,144,144.0,144,144,144.0,3,12,No
165,182,17,3,4,138,45.5,165,138,41.25,1,1,Yes
39,39,0,1,1,39,39.0,39,39,39.0,0,3,No
157,210,53,3,8,167,26.25,181,167,22.625,4,3,Yes
123,130,7,2,4,122,32.5,123,122,30.75,2,10,No
427,439,12,2,3,426,146.33333333333334,427,426,142.33333333333334,23,18,No
533,556,23,3,8,521,69.5,535,521,66.875,12,33,Yes
83,86,3,2,3,82,28.666666666666668,83,82,27.666666666666668,2,6,Yes
149,168,19,3,5,133,33.6,149,133,29.8,2,9,No
153,155,2,2,2,153,77.5,153,153,76.5,9,8,No
38,43,5,2,2,38,21.5,38,38,19.0,0,2,Yes
64,65,1,2,2,64,32.5,64,64,32.0,1,5,No
130,142,12,2,4,129,35.5,130,129,32.5,5,5,No
137,269,132,3,5,126,53.8,141,126,28.2,0,10,No
37,37,0,1,1,37,37.0,37,37,37.0,0,4,No
58,59,1,2,2,58,29.5,58,58,29.0,0,6,No
32,32,0,1,1,32,32.0,32,32,32.0,1,3,No
28,28,0,1,1,28,28.0,28,28,28.0,0,3,No
39,40,1,2,2,39,20.0,39,39,19.5,0,4,No
103,127,24,2,6,101,21.166666666666668,107,101,17.833333333333332,0,3,Yes
74,74,0,1,1,74,74.0,74,74,74.0,1,5,No
63,67,4,2,2,63,33.5,63,63,31.5,0,4,No
137,235,98,2,4,137,58.75,139,137,34.75,5,4,No
173,193,20,3,4,170,48.25,173,170,43.25,2,6,Yes
132,139,7,3,3,75,46.333333333333336,132,75,44.0,2,10,No
67,76,9,3,4,67,19.0,67,67,16.75,1,3,No
148,158,10,2,3,147,52.666666666666664,148,147,49.333333333333336,5,11,No
78,82,4,2,2,78,41.0,78,78,39.0,1,3,Yes
174,184,10,2,3,173,61.333333333333336,174,173,58.0,3,10,No
377,397,20,2,4,377,99.25,377,377,94.25,7,31,Yes
43,43,0,1,1,43,43.0,43,43,43.0,1,3,No
244,340,96,2,5,252,68.0,262,252,52.4,14,12,No
76,78,2,2,2,76,39.0,76,76,38.0,7,6,No
35,0,0,0,0,0,0.0,0,0,0.0,0,4,No
379,401,22,3,4,228,100.25,379,211,94.75,50,14,Yes
92,2,2,1,1,2,2.0,0,0,0.0,3,3,No
88,89,1,1,2,84,44.5,88,84,44.0,3,3,Yes
63,63,0,1,1,63,63.0,63,63,63.0,0,8,No
51,53,2,2,2,52,26.5,53,52,26.5,0,5,No
147,0,0,0,0,0,0.0,0,0,0.0,1,17,No
148,9,10,1,1,9,9.0,1,1,1.0,1,18,Yes
105,0,0,0,0,0,0.0,0,0,0.0,13,5,Yes
77,9,0,1,1,9,9.0,9,9,9.0,3,7,Yes
