classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,307692308;0,289156627;0,803826417;0,240218728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,185328185;0,578313253;0,693496207;0,183395424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,270114943;0,56626506;0,801818385;0,290137089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,333333333;0,192771084;0,81650057;0,19803896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,333333333;0,036144578;0,810333928;0,050603771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,25;0,012048193;0,730781149;0,015869009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,369942197;0,453900709;0,826920691;0,336882159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,246376812;0,120567376;0,677984521;0,104945128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,666666667;0,056737589;0,831993097;0,090763228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,448;0,397163121;0,850416633;0,363083233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,323076923;0,14893617;0,701124504;0,152063521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,307692308;0,028368794;0,794061969;0,036190027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,397790055;0,510638298;0,851419788;0,379669212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,286821705;0,262411348;0,711185719;0,200049335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,346666667;0,184397163;0,782684788;0,185998786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,402116402;0,539007092;0,855054877;0,39330777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,186468647;0,80141844;0,720510746;0,172528743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,226337449;0,780141844;0,819437478;0,236212719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,410958904;0,425531915;0,851355068;0,354520839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,291666667;0,14893617;0,698519537;0,140940709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,52;0,092198582;0,791688914;0,13128713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;0,314285714;0,15942029;0,806667258;0,175050302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,742857143;0,376811594;0,881036801;0,476861167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,814814815;0,31884058;0,893394791;0,437542493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;0,302325581;0,188405797;0,806667258;0,191338456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,723404255;0,492753623;0,927115189;0,562932515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,780487805;0,463768116;0,867881044;0,560277489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;0,318181818;0,304347826;0,80914181;0,263807844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,445544554;0,652173913;0,876457031;0,489554089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,44;0,637681159;0,859290284;0,480293309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;0,318681319;0,420289855;0,802065328;0,310997028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,186046512;0,811594203;0,809289545;0,219222854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,20295203;0,797101449;0,889657108;0,244372689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;0,319148936;0,217391304;0,810907238;0,216920756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,729166667;0,507246377;0,928060689;0,575396211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,756097561;0,449275362;0,854740061;0,541159119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,333333333;0,084507042;0,826224351;0,110644442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;1;0,014084507;0,850811468;0,025958624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;NaN;0;0,666683349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,36;0,126760563;0,822091943;0,158015252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;NaN;0;0,847186673;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;NaN;0;0,64978909;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,351851852;0,267605634;0,809058411;0,261075186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0;0;0,777185958;-0,010589113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,25;0,014084507;0,67970973;0,019635772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,377358491;0,281690141;0,811389147;0,281271776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,193133047;0,633802817;0,732859083;0,215164376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,220858896;0,507042254;0,802967041;0,236142491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,344827586;0,14084507;0,824436977;0,1675371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;1;0,014084507;0,848123257;0,025958624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;NaN;0;0,655015371;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,45;0,169811321;0,765237805;0,207948926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,266666667;0,075471698;0,760881662;0,081585441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,333333333;0,018867925;0,773215373;0,026430518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,404761905;0,160377358;0,749282671;0,188750269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,333333333;0,047169811;0,783775324;0,061945207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,5;0,018867925;0,742383271;0,030085586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,377777778;0,160377358;0,807508043;0,18176053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,377777778;0,160377358;0,740500826;0,18176053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
