@relation openjpa\Release_21\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
43,43,0,1,2,43,21.5,43,43,21.5,0,1,No
86,116,29,1,5,86,23.2,93,86,18.6,0,13,No
1345,2987,1642,3,7,1496,426.7142857142857,1647,1333,235.28571428571428,10,164,No
107,214,106,1,4,108,53.5,108,104,27.0,0,17,No
69,91,21,1,5,71,18.2,80,71,16.0,1,7,No
29,45,16,1,5,30,9.0,39,30,7.8,0,2,No
57,63,6,2,4,58,15.75,59,58,14.75,1,3,No
252,499,247,1,4,253,124.75,254,238,63.5,11,25,No
108,139,31,1,6,119,23.166666666666668,142,119,23.666666666666668,2,20,No
50,105,55,1,5,51,21.0,52,47,10.4,0,10,No
791,0,0,0,0,0,0.0,0,0,0.0,65,164,No
84,0,0,0,0,0,0.0,0,0,0.0,0,11,No
29,1,1,1,1,1,1.0,0,0,0.0,0,1,No
255,7,11,1,2,5,3.5,6,5,3.0,19,23,No
