classifier;iteration;precision;recall;AUC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,166666667;0,020833333;0,848435917;0,008998079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,294117647;0,520833333;0,724955674;0,254639003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,384615385;0,520833333;0,708681611;0,346800143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;4;0,25;0,020833333;0,84929078;0,01925078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;4;0,409090909;0,1875;0,688006586;0,192519977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;4;0,555555556;0,208333333;0,707130193;0,251014943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,5;0,033333333;0,82711301;0,045074349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,371428571;0,216666667;0,747863248;0,186138614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,5;0,15;0,812013295;0,175195665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,6;0,05;0,842853751;0,071453188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,423076923;0,183333333;0,713603989;0,183764662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,576923077;0,25;0,74831434;0,285794079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,583333333;0,116666667;0,814150047;0,153239557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,271186441;0,266666667;0,690954416;0,145162447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,378787879;0,416666667;0,71488604;0,287922309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,529411765;0,15;0,748694207;0,180970716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,243243243;0,45;0,664458689;0,155790804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,280701754;0,533333333;0,713983856;0,218279905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;5;0,571428571;0,066666667;0,847530864;0,091695696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;5;0,407407407;0,183333333;0,713414055;0,178429744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;5;0,62962963;0,283333333;0,750664767;0,330104253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;;NaN;0;0,73348064;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,689655172;0,303030303;0,841708754;0,360569838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,705882353;0,181818182;0,871822391;0,240985686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;NaN;0;0,680850168;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,541666667;0,196969697;0,736826599;0,224837939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,666666667;0,121212121;0,638152357;0,165339401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;NaN;0;0,686069024;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,333333333;0,318181818;0,705639731;0,205326129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,314814815;0,257575758;0,630492424;0,16721222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;NaN;0;0,668265993;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,322580645;0,454545455;0,705934343;0,239532619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,306451613;0,287878788;0,66712963;0,172708441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
