Version,File Name,LOC,LOC_added,LOC_deleted,LOC_modified,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,...,...,...,...,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,39,4,0,0,4,3,2,1.3333333333333333,1,1,0.3333333333333333,39,39,39,39,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,58,3,0,0,3,2,2,1.5,1,1,0.5,58,58,58,58,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,29,0,0,0,1,0,0,0.0,0,0,0.0,29,29,29,29,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,516,528,0,0,5,18,144,29.333333333333332,625,199,34.72222222222222,516,516,516,516,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,11,8,0,0,2,2,5,4.0,0,0,0.0,11,11,11,11,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,345,348,0,0,4,24,136,14.5,461,118,19.208333333333332,345,345,345,345,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,247,88,0,0,4,20,24,4.4,187,53,9.35,247,247,247,247,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,26,1,0,0,2,1,1,1.0,0,0,0.0,26,26,26,26,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,17,83,0,0,10,15,37,5.533333333333333,209,100,13.933333333333334,17,17,17,17,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,9,9,0,0,3,8,2,1.125,63,27,7.875,9,9,9,9,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,30,3,0,0,2,1,3,3.0,0,0,0.0,30,30,30,30,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,134,365,0,0,15,39,68,9.35897435897436,514,75,13.179487179487179,134,134,134,134,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,303,899,0,0,30,86,283,10.453488372093023,1377,273,16.011627906976745,303,303,303,303,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,8,0,0,0,1,0,0,0.0,0,0,0.0,8,8,8,8,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,71,29,0,0,4,6,14,4.833333333333333,4,2,0.6666666666666666,71,71,71,71,yes
