Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,600,34,3,4,561,150.0,566,561,141.5,32,36,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,400,15,3,6,364,66.66666666666667,385,364,64.16666666666667,46,12,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,1,2,2,46,23.5,46,46,23.0,2,2,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,5,3,3,61,22.0,61,61,20.333333333333332,0,3,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,1,2,2,29,15.0,29,29,14.5,0,3,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,0,1,1,56,56.0,56,56,56.0,2,4,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,210,6,3,5,124,42.0,204,124,40.8,10,16,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,489,96,3,11,209,44.45454545454545,399,209,36.27272727272727,27,19,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,0,1,1,28,28.0,28,28,28.0,0,3,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,123,9,2,4,113,30.75,114,113,28.5,1,12,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1246,220,3,14,545,89.0,1026,545,73.28571428571429,61,53,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,0,1,1,369,369.0,369,369,369.0,21,28,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,203,20,3,4,185,50.75,187,185,46.75,7,18,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,60,2,2,2,57,30.0,58,57,29.0,0,3,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,931,203,2,6,714,155.16666666666666,882,714,147.0,53,33,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,0,1,1,42,42.0,42,42,42.0,0,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,1,2,2,289,145.0,289,289,144.5,9,34,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,103,134,30,2,2,104,67.0,104,104,52.0,0,16,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,203,22,3,7,178,29.0,189,178,27.0,15,12,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,0,1,1,42,42.0,42,42,42.0,1,7,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,16,2,2,64,40.0,64,64,32.0,2,5,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1040,492,3,9,410,115.55555555555556,548,410,60.888888888888886,32,23,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,0,1,1,138,138.0,138,138,138.0,5,20,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,0,1,1,78,78.0,78,78,78.0,0,7,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,52,54,2,2,2,52,27.0,52,52,26.0,0,2,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,1,2,2,58,29.5,58,58,29.0,1,6,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,13,2,4,136,37.5,137,136,34.25,5,5,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,5,2,3,58,21.0,58,58,19.333333333333332,7,4,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,0,1,1,41,41.0,41,41,41.0,1,2,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,2,2,2,38,20.0,38,38,19.0,0,4,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,29,3,3,94,32.666666666666664,119,94,39.666666666666664,3,4,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,472,20,2,4,450,118.0,452,450,113.0,29,39,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,1,2,2,87,44.0,87,87,43.5,1,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,1,2,2,72,36.5,72,72,36.0,1,5,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,1,2,2,85,43.0,85,85,42.5,0,0,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,0,1,1,81,81.0,81,81,81.0,2,7,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,75,81,6,2,2,75,40.5,75,75,37.5,0,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,35,3,2,2,31,17.5,32,31,16.0,0,2,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,108,9,2,4,98,27.0,99,98,24.75,2,7,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,163,4,2,3,158,54.333333333333336,159,158,53.0,2,13,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,212,7,2,4,204,53.0,205,204,51.25,19,14,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,280,9,3,4,249,70.0,271,249,67.75,18,43,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,151,50,2,3,100,50.333333333333336,101,100,33.666666666666664,9,5,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70,76,6,2,3,70,25.333333333333332,70,70,23.333333333333332,0,7,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,0,1,1,514,514.0,514,514,514.0,26,34,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,5,3,3,54,19.666666666666668,54,54,18.0,6,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,0,1,1,111,111.0,111,111,111.0,3,16,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,65,1,2,2,64,32.5,64,64,32.0,0,6,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,91,3,2,3,87,30.333333333333332,88,87,29.333333333333332,0,10,No
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,0,1,1,43,43.0,43,43,43.0,2,7,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,429,506,77,2,3,428,168.66666666666666,429,428,143.0,37,22,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,76,2,2,2,74,38.0,74,74,37.0,0,7,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,97,3,2,3,93,32.333333333333336,94,93,31.333333333333332,3,8,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,414,78,3,6,329,69.0,336,329,56.0,10,16,Yes
